geo_name_clean,wilayah,ipm_mean,ipm_latest,kemiskinan_mean,kemiskinan_latest,ipm_trend,kemiskinan_trend,cluster,cluster_color
ACEH BARAT,Aceh Barat,71.152,73.69,19.076,17.6,5.28,-3.86,Klaster 3,#f59e0b
ACEH BARAT DAYA,Aceh Barat Daya,66.363,68.75,16.641,15.32,4.98,-2.93,Klaster 3,#f59e0b
ACEH BESAR,Aceh Besar,73.253,75.13,14.314000000000002,13.21,3.43,-2.72,Klaster 3,#f59e0b
ACEH JAYA,Aceh Jaya,69.453,71.83,13.659,12.25,4.3,-3.68,Klaster 3,#f59e0b
ACEH SELATAN,Aceh Selatan,66.523,69.1,13.049000000000001,12.02,5.82,-1.22,Klaster 3,#f59e0b
ACEH SINGKIL,Aceh Singkil,68.598,70.75,20.541,19.06,4.7,-2.66,Klaster 3,#f59e0b
ACEH TAMIANG,Aceh Tamiang,69.29299999999999,72.32,13.507,12.17,5.29,-2.4,Klaster 3,#f59e0b
ACEH TENGAH,Aceh Tengah,73.209,75.41,15.556000000000001,14.27,3.9,-3.24,Klaster 3,#f59e0b
ACEH TENGGARA,Aceh Tenggara,69.225,71.7,13.584,11.99,4.93,-2.92,Klaster 3,#f59e0b
ACEH TIMUR,Aceh Timur,67.387,69.87,14.421000000000001,13.26,5.32,-2.59,Klaster 3,#f59e0b
ACEH UTARA,Aceh Utara,69.087,71.7,17.816,16.11,4.85,-3.09,Klaster 3,#f59e0b
AGAM,Agam,72.233,74.66,6.976000000000001,6.83,4.82,-0.75,Klaster 1,#22c55e
ALOR,Alor,61.004,63.82,21.243000000000002,19.87,5.32,-3.05,Klaster 3,#f59e0b
AMBON,Kota Ambon,80.804,82.56,4.736,5.13,3.26,0.75,Klaster 1,#22c55e
ASAHAN,Asahan,70.118,72.09,9.891,8.12,3.69,-3.97,Klaster 3,#f59e0b
ASMAT,Asmat,50.72833333333333,53.92,26.149,24.5,7.3,-3.98,Klaster 4,#ef4444
BADUNG,Badung,81.417,83.87,2.191,2.23,5.01,-0.1,Klaster 1,#22c55e
BALANGAN,Balangan,68.46000000000001,71.34,5.567,4.87,6.0,-1.0,Klaster 1,#22c55e
